行业,能源消费总量,煤炭,焦炭,原油,汽油,煤油,柴油,燃料油,液化石油气,天然气,电力
消 费 总 量              ,8434.23,8075.97,595.19,1487.54,223.71,7.53,249.14,1.67,16.85,37.48758,1494.7
农、林、牧、渔业           ,245.1110181,36.45,,,4.9,,30.85,,,,57.7
工业                       ,5710.772293,7683.75,595.19,1487.54,1.85,0.1,15.09,1.67,0.1,11.26758,1099.52
采掘业                   ,398.8122544,329.46,9.36,14.2,0.4,,4.42,,,0.93,62.46
煤炭开采和洗选业,175.3798506,324.04,,,0.08,,1.36,,,0.32,1.82
石油和天然气开采业,80.81376046,1.84,,14.2,0.14,,0.44,,,0.61,17.42
黑色金属矿采选业,25.14659268,2.03,9.36,,0.02,,0.8,,,,4.72
有色金属矿采选业,39.66716835,0.47,,,0.07,,0.29,,,,13.17
非金属矿采选业  ,22.45861435,1.08,,,,,0.56,,,,7.09
开采辅助活动,1.545813,,,,0.09,,0.97,,,,
其他采矿业  ,53.80045498,,,,,,,,,,18.24
制造业                   ,4577.471481,1839.18,585.83,1473.34,0.83,0.1,10.02,1.66,0.1,9.93,835.05
农副食品加工业,38.55295802,11.25,0.1,,0.08,,0.07,,,0.13,8.59
食品制造业,16.42346203,6.05,,,0.08,,0.03,,0.03,0.15,2.17
饮料制造业,12.46620729,4.87,,,0.01,,0.03,,,0.28,1.88
烟草制品业,2.118144695,,,,,,,,,0.06,0.48
纺织业,4.090852779,0.21,,,,,0.04,,,0.03,1.17
纺织服装、鞋、帽制造业,0.972437249,,,,,,,,,0.01,0.29
皮革、毛皮、羽毛(绒)及其制品业,0.522291929,0.08,,,,,,,,,0.16
木材加工及木、竹、藤、棕、草制品业,2.507652532,,,,,,,,,,0.84
家具制造业,1.091346949,,,,,,,,,,0.37
造纸及纸制品业,11.84845361,9.03,,,,,0.02,,,,2.08
印刷业和记录媒介的复制,0.873321078,0.01,,,0.01,,,,,,0.27
文教体育用品制造业,0.058991727,,,,,,,,,,0.02
石油加工、炼焦及核燃料加工业,620.9272256,456.86,,1473.34,0.09,,0.61,0.55,,2.1,23.42
化学原料及化学制品制造业,422.1725306,73.35,54.46,,0.04,0.03,0.18,,,2.72,81.27
医药制造业,23.79584779,8.69,,,0.04,,0.02,0.06,,0.3,3.99
化学纤维制造业,5.566381984,,,,,,,,,0.09,1.53
橡胶和塑料制品业,16.05463064,0.01,,,0.02,,0.01,,,0.03,4.23
非金属矿物制品业,731.5231387,605.84,35.26,,0.15,,5.64,0.56,,1.56,90.81
黑色金属冶炼及压延加工业,1047.10128,469.15,483.94,,0.01,,0.83,,,0.35,133.37
有色金属冶炼及压延加工业,1521.211012,191.59,10.6,,0.14,0.07,2.14,0.41,0.07,1.71,448.74
金属制品业,18.76735666,0.33,,,0.09,,0.03,,,0.19,5.38
通用设备制造业,7.602186179,,,,0.01,,0.06,0.07,,0.03,2.23
专用设备制造业,4.47522807,0.12,0.36,,0.02,,0.05,,,0.05,1.09
汽车制造业,0.331274498,,,,,,,,,,0.11
交通运输设备制造业,0.5,,,,,,,,,,0.17
电气机械及器材制造业,5.227793141,,,,0.04,,0.01,,,0.08,1.43
通信设备、计算机及其他电子设备制造业,15.16901493,,,,,,0.01,,,0.02,4.65
仪器仪表及文化、办公用机械制造业,0.530925543,,,,,,,,,,0.18
工艺品及其他制造业,21.91542656,,,,,,,,,,7.43
废弃资源和废旧材料回收加工业,17.37079679,1.74,1.11,,,,0.03,0.01,,0.02,4.95
金属制品、机械和设备修理业,5.701881524,,,,,,0.21,,,0.02,1.75
电力煤气及水生产供应业,734.4885582,5515.11,,,0.62,,0.65,0.01,,0.40758,202.01
电力、热力的生产和供应业,680.5646358,5512.23,,,0.6,,0.6,0.01,,0.06,184.54
燃气生产和供应业,27.75111856,2.84,,,0.01,,0.03,,,0.34758,8.67
水的生产和供应业,26.17280386,0.04,,,0.01,,0.02,,,,8.8
建筑业                     ,121.28,14.3,,,13.73,,12.95,,,,19.23
交通运输、仓储及邮电通信业,631.4,14.1,,,57.15,7.43,166.5,,,5.05,71.44
批发和零售贸易餐饮业       ,271.9354952,19.6,,,13.76,,3.55,,2.48,4.95,46.4
其他行业                   ,459.077175,18.8,,,51.02,,15.85,,,7.65,75.93
生活消费                   ,994.7226158,288.97,,,81.3,,4.35,,14.27,8.57,124.48
