行业,能源消费总量,煤炭,焦炭,原油,汽油,煤油,柴油,燃料油,液化石油气,天然气,电力
消 费 总 量              ,6495.775946,6303.366172,601.28,1635.77,58.77,3.72,222.68,9.42,5.82,15.56,923.45
农、林、牧、渔业           ,269.1390858,60.99,,,3.92,0.02,30.1,,,,55.89
工业                       ,4827.424481,5603.976172,601.28,1635.77,6.6,0.2,21.21,9.42,0.24,12.05,712.53
采掘业                   ,251.6766311,219.01,0.06,18.13,1.72,,6.68,,,0.49,29.93
煤炭开采和洗选业,142.871165,198.45,,,0.35,,1.42,,,,13.69
石油和天然气开采业,63.94780302,1.9,,18.13,0.52,,2.15,,,0.49,8.29
黑色金属矿采选业,13.81407831,7.04,0.06,,0.3,,1,,,,2.1
有色金属矿采选业,23.22609629,6.25,,,0.22,,1.01,,,,5.29
非金属矿采选业  ,7.817488422,5.37,,,0.33,,1.1,,,,0.56
其他采矿业  ,,,,,,,,,,,
制造业                   ,4043.521936,1914.236172,599.84,1617.64,4.04,0.2,13.02,9.32,0.24,11.56,550.12
农副食品加工业,40.06932574,25.81,,,0.9,,1.1,,,,5.71
食品制造业,19.72338574,16.6,,,0.1,,0.06,,,,2.29
饮料制造业,31.02713447,26.89,,,0.15,,0.27,,,0.19,2.57
烟草制品业,2.167937338,0.64,,,,,0.02,,,0.05,0.32
纺织业,4.39396789,1.17,,,0.01,,0.01,,,0.01,0.81
纺织服装、鞋、帽制造业,0.612247347,0.4,,,,,,,,,0.1
皮革、毛皮、羽毛(绒)及其制品业,1.915537673,2,,,,,,,,,0.14
木材加工及木、竹、藤、棕、草制品业,0.073499402,0.1,,,,,,,,,
家具制造业,0.031824974,,,,,,,,,,0.01
造纸及纸制品业,14.05151172,12.61,,,0.02,,0.03,,,,1.48
印刷业和记录媒介的复制,0.947873321,0.73,,,0.02,,,,,,0.12
文教体育用品制造业,0.039174914,0.01,,,,,,,,,0.01
石油加工、炼焦及核燃料加工业,663.5696279,117.1055,,1617.64,0.37,,1.3,3.49,0.02,4.21,29.1
化学原料及化学制品制造业,523.210782,200.82,67.23,,0.36,,1.05,0.23,0.17,4.67,71.49
医药制造业,14.64504514,9.47,0.18,,0.14,,0.1,,,0.15,1.63
化学纤维制造业,15.32847547,18.634949,,,0.03,,0.05,,,,1.17
橡胶制品业,0.83979829,0.19,,,,,,,,,0.22
塑料制品业,6.357486122,2.38,0.24,,0.06,,0.05,,,,1.32
非金属矿物制品业,506.1507289,422.03,13.45,,0.36,0.01,2.9,,,0.98,48.58
黑色金属冶炼及压延加工业,1193.76132,560.891633,491.37,,0.51,,1.7,,,,143.92
有色金属冶炼及压延加工业,938.6517118,466.46409,23.6,,0.47,0.13,3.62,5.59,0.05,0.93,231.04
金属制品业,6.246322726,1.53,,,0.15,,0.17,,,0.02,1.06
通用设备制造业,16.76644336,8.69,3.59,,0.15,0.02,0.17,0.01,,0.01,1.97
专用设备制造业,10.24849003,5.75,0.01,,0.09,0.01,0.05,,,0.16,1.11
交通运输设备制造业,5.311366552,4.6,0.01,,0.03,0.03,0.12,,,0.01,0.48
电气机械及器材制造业,7.170253856,2.91,0.11,,0.04,,0.02,,,0.16,0.85
通信设备、计算机及其他电子设备制造业,5.744841331,2.62,,,0.01,,0.01,,,0.01,1.15
仪器仪表及文化、办公用机械制造业,0.562569492,0.31,0.05,,,,,,,,0.09
工艺品及其他制造业,13.26132846,2.88,,,0.04,,0.05,,,,1.27
废弃资源和废旧材料回收加工业,0.641923713,,,,0.03,,0.17,,,,0.11
电力煤气及水生产供应业,532.2259147,3470.73,1.38,,0.84,,1.51,0.1,,,132.48
电力、热力的生产和供应业,525.2383386,3470.46,1.38,,0.75,,1.49,0.1,,,130.45
燃气生产和供应业,1.777404592,,,,0.04,,,,,,0.54
水的生产和供应业,5.2101715,0.27,,,0.05,,0.02,,,,1.49
建筑业                     ,91.22751416,27.2,,,9.3,,12.1,,,,11.55
交通运输、仓储及邮电通信业,414.4764416,50.2,,,19,3.5,154,,,1.43,31.89
批发和零售贸易餐饮业       ,86.5210069,30,,,4.55,,2.8,,,0.5,14.83
其他行业                   ,145.144568,23,,,9,,2.2,,,0.2,34.31
生活消费                   ,661.8428477,508,,,6.4,,0.27,,5.58,1.38,62.45
