行业,能源消费总量,煤炭,焦炭,原油,汽油,煤油,柴油,燃料油,液化石油气,天然气,电力
消 费 总 量              ,8667.89,8486.453,613.78,1471.87,191.13,7.53,290.16,1.4,16.86,39.015777,1500.69
农、林、牧、渔业           ,266.17,37.45,,,4.5,,32.64,,,,63.03
工业                       ,5850.49,8108.093,613.78,1471.87,1.73,0.1,17.13,1.4,0.1,12.335777,1090.75
采掘业                   ,442.8904866,434.64,8.59,14.33,0.43,,6.65,,,0.77,67.8
煤炭开采和洗选业,213.8483517,430.42,,,0.08,,1.9,,,0.18,5.86
石油和天然气开采业,89.69755994,0.48,,14.33,0.16,,0.32,,,0.59,20.65
黑色金属矿采选业,17.57588843,0.82,8.59,,,,0.6,,,,2.8
有色金属矿采选业,40.81093578,0.02,,,0.06,,0.34,,,,13.59
非金属矿采选业  ,21.09396297,2.9,,,,,1,,,,5.96
开采辅助活动,3.819461,,,,0.13,,2.49,,,,
其他采矿业  ,56.04432672,,,,,,,,,,18.94
制造业                   ,4703.58,1652.343,605.19,1457.54,0.69,0.1,9.81,1.35,0.1,10.81,835.87
农副食品加工业,38.28568625,10.39,0.07,,0.08,,0.07,0.01,,0.11,8.29
食品制造业,15.56015358,2.8,,,0.03,,0.01,,,0.19,2.11
饮料制造业,12.85187619,4.23,,,0.05,,0.01,,,0.27,2.04
烟草制品业,2.200376076,,,,,,,,,0.06,0.5
纺织业,3.927313953,0.28,,,,,,,,0.03,1.11
纺织服装、鞋、帽制造业,0.711951351,,,,,,,,,0.01,0.2
皮革、毛皮、羽毛(绒)及其制品业,0.407489224,0.05,,,,,,,,,0.11
木材加工及木、竹、藤、棕、草制品业,2.384549093,0.01,,,,,,,,,0.79
家具制造业,1.065256474,,,,,,,,,,0.36
造纸及纸制品业,12.33808512,9.5626,,,,,0.01,,,0.02,1.85
印刷业和记录媒介的复制,1.102735696,0.01,,,,,,,,0.02,0.27
文教体育用品制造业,0.088771373,,,,,,,,,,0.03
石油加工、炼焦及核燃料加工业,634.8702523,423.26,0.18,1457.54,0.06,,0.54,0.46,,2.211357,26.86
化学原料及化学制品制造业,416.9512781,72.0267,47.13,,0.03,0.02,0.16,0.02,,2.96,81.6
医药制造业,29.00315473,8.8525,,,0.04,,0.02,0.02,,0.37,5.2
化学纤维制造业,4.894888087,,,,,,,,,0.07,1.37
橡胶和塑料制品业,16.77996741,,,,0.02,,0.01,,,0.02,4.48
非金属矿物制品业,847.5384504,550.2181,25.88,,0.06,0,5.82,0.42,,1.84,86.94
黑色金属冶炼及压延加工业,982.1173804,465.6952,518.76,,0.03,,0.76,,,0.25,117.37
有色金属冶炼及压延加工业,1561.63,102.7081,12.5,,0.08,0.08,2.19,0.39,0.1,1.89,458.33
金属制品业,19.65453938,0.48,,,0.07,,0.03,,,0.23,5.43
通用设备制造业,7.519794832,,0.16,,0.05,,0.02,0.03,,0.03,2.27
专用设备制造业,5.475019021,0.07,,,0.03,,0.02,,,0.06,1.37
汽车制造业,0.416046775,,,,,,,,,0.01,0.1
交通运输设备制造业,0.650990067,,,,,,,,,,0.22
电气机械及器材制造业,7.499692896,,,,0.06,,0.02,,,0.08,2.17
通信设备、计算机及其他电子设备制造业,20.0282258,,,,,,0.01,,,0.02,6.04
仪器仪表及文化、办公用机械制造业,0.414266407,,,,,,,,,,0.14
工艺品及其他制造业,27.72625878,,,,,,,,,,9.37
废弃资源和废旧材料回收加工业,23.99776464,1.6998,0.51,,,,0.02,,,0.03,7.26
金属制品、机械和设备修理业,5.492352934,,,,,,0.09,,,0.03,1.69
电力煤气及水生产供应业,704.0151902,6021.11,,,0.61,,0.67,0.05,,0.76442,187.08
电力、热力的生产和供应业,653.1171539,6021.05,,,0.58,,0.61,0.05,,0.34,170.52
燃气生产和供应业,26.21077579,,,,0.02,,0.04,,,0.41442,8.33
水的生产和供应业,24.68726047,0.06,,,0.01,,0.02,,,0.01,8.23
建筑业                     ,115.6143767,13.3,,,13.1,,13.56,,,,16.78
交通运输、仓储及邮电通信业,676.04,13.5,,,43.5,7.43,202.59,,,5.15,73.48
批发和零售贸易餐饮业       ,268.4580966,17.15,,,12.05,,3.12,,2.43,4.85,45.31
其他行业                   ,474.7882263,17.67,,,48.1,,16.85,,,7.98,79.06
生活消费                   ,1016.327873,279.29,,,68.15,,4.27,,14.33,8.7,132.28
