年份,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
合计,532.2,583.97,627.06,642.8,662.43,791.7648035,804.77,845.72,906.1817625,938.14,984.8,994.72,1016.327873,1043.59
煤炭,334,321.4,338.3,341.6,345.5,393,401,394,336.14,327.45,310.19,288.97,279.29,211.99
液化石油气,5.72,5.77,6.22,6.33,6.4,8.5,10.3,10.3,13.8,14.38,13.39,14.27,14.33,14.3
焦炉煤气,0.15,0.15,0.15,0.16,0.16,0.16,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
天然气,1.9,2.8,3.05,3.55,3.6,4,4.4,4.45,5.2,6.06,8.1,8.57,8.7,9.32
热力,1741.92,1800,1881.61,1980,2030,3260,2600,3133,4485,4826.24,5456.24,5751.49,5853.77,6433.02
电力,53.52,62.45,66,69.07,73.07,76.62,83.49,91.33,101.23,108.45,115.53,124.48,132.28,138.69
