行业,能源消费总量,煤炭,焦炭,原油,汽油,煤油,柴油,燃料油,液化石油气,天然气,电力
消 费 总 量              ,7333.62,6377.52,548.64,1367.2873,199.3019,8.0632,307.0093,3.33,11.07,26.1689,1065.15
农、林、牧、渔业           ,237.153343,57.5,,,6,,35,,,,44.85
工业                       ,5088.85854,5794.02,548.64,1367.2873,7.0019,0.1732,17.1493,3.33,0.05,10.1689,811.54
采掘业                   ,338.6936297,481.75,17.64,24.3338,0.93,,5.74,0.03,,0.5,28.84
煤炭开采和洗选业,214.9945515,457.91,2.3,,0.2,,2.51,,,,15.13
石油和天然气开采业,57.94901073,7,,24.32,0.4,,1.4,,,0.5,2.65
黑色金属矿采选业,26.75279454,7.42,13.24,,0.1,,0.6,,,,2.35
有色金属矿采选业,26.08356932,4.42,,0.0138,0.1,,0.31,0.02,,,7.1
非金属矿采选业  ,11.34176807,4.6,2.1,,0.07,,0.54,,,,1.53
开采辅助活动,1.571935524,0.4,,,0.06,,0.38,0.01,,,0.08
其他采矿业  ,,,,,,,,,,,
制造业                   ,4248.166741,2476.56,531,1342.9535,5.2119,0.1723,10.98,3.28,0.05,9.4644,670.66
农副食品加工业,54.18,131.09,0.06,,0.53,,0.38,,,0.06,5.48
食品制造业,14.11,12.1,,,0.16,,0.03,,0.01,,1.33
饮料制造业,25.8404048,18.46,,,0.14,,0.04,,,0.25,2.65
烟草制品业,2.998738323,,,,0.02,,,,,0.1,0.44
纺织业,3.786524153,1.1,,,0.01,,0.01,,,0.03,0.78
纺织服装、鞋、帽制造业,1.827148318,0.5,,,0.01,,,,,0.03,0.29
皮革、毛皮、羽毛(绒)及其制品业,1.201067612,0.25,,,,,,,,0.03,0.08
木材加工及木、竹、藤、棕、草制品业,0.893053834,0.01,,,,,,,,,0.2
家具制造业,0.552229616,0.07,,,0.01,,,,,0.01,0.05
造纸及纸制品业,16.71452298,17.8,,,0.03,,0.01,,,0.01,0.97
印刷业和记录媒介的复制,1.859616552,0.99,,,0.02,,0.01,,,0.02,0.17
文教体育用品制造业,1.161140081,0.59,,,0.01,,0.01,,,,0.16
石油加工、炼焦及核燃料加工业,624.8189155,244.57,,1342.9535,1.98,,0.67,1.54,0.02,3.02,25.76
化学原料及化学制品制造业,467.0961246,143.17,102.9,,0.25,0.0138,0.4,,,1.9,69.88
医药制造业,19.2087254,13.12,,,0.14,,0.1,,,0.21,2.11
化学纤维制造业,8.455323134,0.06,,,0.01,,,,,,2.74
橡胶和塑料制品业,8.078343848,0.41,0.02,,0.18,,0.06,,,0.01,2.22
非金属矿物制品业,682.1922248,609.56,8.8,,0.36,,4.7,0.01,,1.29,59.15
黑色金属冶炼及压延加工业,854.8813462,515.64,390.67,,0.45,,0.96,,,0.52,95.81
有色金属冶炼及压延加工业,1388.126899,752.76,12.5,,0.4,0.1389,3.15,1.72,,1.45,389.44
金属制品业,14.97218015,1.51,1.84,,0.18,,0.09,,,0.08,3.35
通用设备制造业,8.410693954,3.31,0.07,,0.09,0.0121,0.07,0.01,,0.04,1.55
专用设备制造业,10.10227108,1.4,0.01,,0.06,,0.04,,,0.25,1.48
汽车制造业,0.783564156,0.5,,,0.01,,0.01,,,,0.07
交通运输设备制造业,0.106644249,,,,0.01,,,,,,0.03
电气机械及器材制造业,7.024094522,2.31,0.03,,0.08,,0.01,,,0.08,1.31
通信设备、计算机及其他电子设备制造业,5.384603335,0.08,,,0.02,,0.01,,,0.02,1.64
仪器仪表及文化、办公用机械制造业,0.182502082,,,,0.01,,0.01,,,,0.05
工艺品及其他制造业,0.121215249,,,,0.01,,0.01,,,,0.03
废弃资源和废旧材料回收加工业,21.9457109,5.2,14.1,,0.02,,0.1,,,,1.34
金属制品、机械和设备修理业,1.157052844,,,,0.01,,0.1,,0.02,0.05,0.1
电力煤气及水生产供应业,501.9981695,2835.71,,,0.86,,0.4293,0.02,,0.2045,112.04
电力、热力的生产和供应业,491.6869214,2835.56,,,0.75,,0.42,0.02,,0.19,108.93
燃气生产和供应业,3.290930598,,,,0.06,,,,,0.01,0.99
水的生产和供应业,7.020317499,0.15,,,0.05,,,,,,2.12
建筑业                     ,110.6838291,18,,,13,,17,,,,12.88
交通运输、仓储及邮电通信业,592.3910226,45,,,48,7.89,205,,,3.5,40.7
批发和零售贸易餐饮业       ,167.8478528,29,,,12.3,,5,,0.72,2.5,27.61
其他行业                   ,331.9011456,33,,,46,,21,,,5.6,44.08
生活消费                   ,804.7732284,401,,,67,,6.86,,10.3,4.4,83.49
