行业,能源消费总量,煤炭,焦炭,原油,汽油,煤油,柴油,燃料油,液化石油气,天然气,电力
消 费 总 量              ,5923.13,5389.566732,541.600362,1400.184,56.565962,4.979168,210.640121,14.625261,6.402318,14.211243,804.432949
农、林、牧、渔业           ,261.1589767,58.8,,,3.9,0.02,28.98,,,,54.37
工业                       ,4376.64,4691.066732,541.600362,1400.184,7.775962,0.219168,21.430121,14.625261,0.782318,10.741243,617.127949
采掘业                   ,165.6808423,107.4547,0.04,5,3.45,,10.27,,,1.31048,24.89426
煤炭开采和洗选业,66.99213554,86.7547,,,0.28,,1.5,,,,11.572907
石油和天然气开采业,61.41388914,2.5,,5,2.3,,4.76,,,1.31,7.85745
黑色金属矿采选业,11.12458313,6.9,0.04,,0.22,,1.56,,,,1.169619
有色金属矿采选业,18.95473286,6,,,0.24,,1.35,,,,3.868189
非金属矿采选业  ,7.195501629,5.3,,,0.41,,1.1,,,,0.426095
其他采矿业  ,,,,,,,,,,,
制造业                   ,3766.36,1777.011287,539.045962,1395.184,3.474083,0.21904,9.460121,14.485261,0.782318,9.393952,488.330092
农副食品加工业,38.79316929,25.108374,0.5,,0.615016,,0.59,0.0013,,,6.008042
食品制造业,20.80439736,19.61,0.6,,0.03129,,0.06,,,0.00304,2.070701
饮料制造业,28.21236293,26.127381,,,0.107479,,0.116395,,,0.149745,2.523426
烟草制品业,1.997509648,0.6478,,,0.00065,,0.0177,,,0.043591,0.299683
纺织业,4.464929742,1.18276,,,0.027358,,0.020242,,,0.003429,0.817142
纺织服装、鞋、帽制造业,0.471060938,0.316242,,,0.004098,,,,,,0.07702
皮革、毛皮、羽毛(绒)及其制品业,1.117276695,1.12981,,,0.00408,,0.001309,,,,0.10492
木材加工及木、竹、藤、棕、草制品业,0.670416451,0.74862,,,0.004959,,0.016107,,,,0.040111
家具制造业,0.204713839,0.169,,,0.00164,,0.00166,,,0.0005,0.02419
造纸及纸制品业,12.77349424,13.5,,,0.02,,0.014374,,,,1.089701
印刷业和记录媒介的复制,1.13607375,0.4726,,,0.018217,,…,,,0.001,0.215755
文教体育用品制造业,0.038751792,0.0165,,,0.00076,,0.00076,,,,0.0078
石油加工、炼焦及核燃料加工业,646.5,123.48172,,1395.184,0.8,0.004185,1.35,6.755598,0.65,3.7514,27.67088
化学原料及化学制品制造业,445.17,186.545382,57.49,,0.209412,0.002612,0.49,1.24967,0.096036,3.373685,62.782477
医药制造业,14.4530644,11.579996,0.13,,0.072399,,0.068159,,,0.083714,1.590865
化学纤维制造业,30.17710679,31.189,0.9,,0.0146,,0.0089,,,,2.760099
橡胶制品业,0.949210777,0.0919,,,0.00294,,,,,,0.272078
塑料制品业,7.690537584,2.234769,0.2711,,0.134305,0.0073,0.063578,,,0.000533,1.71444
非金属矿物制品业,441.0188338,375.331182,26.59,,0.41,0.003957,2.46,0.008384,,0.989313,43.441389
黑色金属冶炼及压延加工业,1175.74,485.0522,427,,0.11,,0.78,,,0.00283,130.542624
有色金属冶炼及压延加工业,828.56,440.179446,24.280052,,0.27,0.157432,2.570234,6.44,0.032738,0.645765,195.877494
金属制品业,8.964892076,3.57866,0.396,,0.202438,0.000695,0.221008,,,0.016481,1.257971
通用设备制造业,15.48391721,9.877769,0.702299,,0.146739,0.014681,0.128818,0.0293,0.002711,0.011954,2.301729
专用设备制造业,11.91313638,7.616276,0.01873,,0.091491,0.002622,0.055082,,,0.164752,1.283929
交通运输设备制造业,5.536902662,4.418957,0.01426,,0.036137,0.018684,0.164305,,0.000673,0.01463,0.618558
电气机械及器材制造业,8.07789041,4.14085,0.1374,,0.088162,0.002385,0.03643,0.000867,,0.13759,0.963773
通信设备、计算机及其他电子设备制造业,4.971650313,2.214171,,,0.012753,0.001358,0.004337,,,,1.059973
仪器仪表及文化、办公用机械制造业,0.457282788,0.237322,0.016121,,0.003012,0.002608,0.000623,,,,0.083632
工艺品及其他制造业,9.438547168,0.2126,,,0.032228,,0.05,,,,0.73123
废弃资源和废旧材料回收加工业,0.569831035,,,,0.00192,,0.17,,,,0.09846
电力煤气及水生产供应业,444.5972738,2806.600745,2.5144,,0.851879,,1.7,0.14,,0.036811,103.903597
电力、热力的生产和供应业,436.7177564,2801.750745,2.5144,,0.78,,1.65,0.14,,,102.18
燃气生产和供应业,1.508091317,3.95,,,0.031947,,0.03,,,0.0161,0.10818
水的生产和供应业,6.371426046,0.9,,,0.039932,,0.02,,,0.020411,1.615417
建筑业                     ,79.43970264,28,,,9.1,,11.7,,,0.08,8.33
交通运输、仓储及邮电通信业,395.78,50,,,16.19,4.72,143,,,1.33,32.565
批发和零售贸易餐饮业       ,77.16740873,33,,,4.8,0.01,2.9,,,0.5,11.41
其他行业                   ,122.0403837,22,,,8.9,0.01,2.3,,,0.21,27.11
生活消费                   ,610.9046757,506.7,,,5.9,,0.33,,5.62,1.35,53.52
