行业,能源消费总量,煤炭,焦炭,原油,汽油,煤油,柴油,燃料油,液化石油气,天然气,电力
消 费 总 量              ,7007.04,6557.533049,654.070042,1544.2102,65.8,5.233019,258.027168,9.250774,7.047994,19.973211,994.559446
农、林、牧、渔业           ,272.171589,61.8,,,4.1,0.02,31,,,,56.47
工业                       ,5235.57,5852.733049,654.070042,1544.2102,9.7,0.163019,27.177168,9.250774,0.507994,15.353211,774.869446
采掘业                   ,328.3330479,305.012,1.0527,18.5102,1.65,0.0011,10.43,,0.0005,0.58,33.075781
煤炭开采和洗选业,202.1679302,279.6874,,,0.43,,2.65,,,,14.215224
石油和天然气开采业,70.74864578,9.5,,18.51,0.65,,2.86,,,0.58,7.830351
黑色金属矿采选业,17.9366188,5.3,1.05,,0.1,,1.62,,,,3.33
有色金属矿采选业,27.36696758,5.7246,,,0.18,,1.23,,,,6.72
非金属矿采选业  ,8.161339325,4.3,,,0.1,,1.82,,,,0.682321
开采辅助活动,1.951546211,0.5,,,0.19,,0.25,,,,0.297885
其他采矿业  ,,,,,,,,,,,
制造业                   ,4419.99,2085.145549,651.417342,1525.7,7.09,0.145319,15.057168,9.170774,0.507465,14.748421,626.280169
农副食品加工业,46.86554393,35.53,0.3,,0.62,,0.43,,,,5.788835
食品制造业,20.76107726,15.19,0.2,,0.06,,0.04,,,,2.87021
饮料制造业,30.40658566,23.2774,,,0.16,,0.23,,,0.27,2.829369
烟草制品业,2.510378014,0.6398,,,0.09,,0.03,,,0.06,0.34313
纺织业,4.210665177,1.6,,,0.01,,,,,,0.701506
纺织服装、鞋、帽制造业,0.899724172,0.7856,,,0.01,,,,,,0.09442
皮革、毛皮、羽毛(绒)及其制品业,2.152552581,2.2,,,0.01,,,,,,0.152836
木材加工及木、竹、藤、棕、草制品业,0.083576804,0.1,,,,,,,,,
家具制造业,0.057336718,,,,0.01,,,,,,0.01314
造纸及纸制品业,14.02117547,13.6,,,0.02,,,,,,1.208147
印刷业和记录媒介的复制,1.124191327,0.93893,,,0.02,,,,,,0.111801
文教体育用品制造业,0.056202996,0.014732,,,,,,,,,0.014422
石油加工、炼焦及核燃料加工业,619.0362786,121.11,,1525.7,1.23,,2.8,2.82,0.02,5.36,20.3
化学原料及化学制品制造业,576.5292795,217.987557,97.12,,0.36,0.0809,0.88,0.09,0.48,6.03,68.02
医药制造业,17.89658663,12.9673,,,0.17,,0.104837,,,0.162488,1.814405
化学纤维制造业,8.256488943,10.63,,,0.01,,,,,,0.085079
橡胶和塑料制品业,10.93009742,5.30023,0.1755,,0.1,,0.07,,,,2.086724
非金属矿物制品业,626.5333683,512.64,21.92,,0.4,,3.8,,,1.28,58.272584
黑色金属冶炼及压延加工业,1430.52,624.385169,497.12,,1.82,,1.96,0.08,,0.02,218.2
有色金属冶炼及压延加工业,933.8372365,455.98,33.55,,1.42,0.009354,3.89,6.17,,1.11,232.871378
金属制品业,8.613729381,2.66,,,0.21,,0.18,,,0.03,1.305725
通用设备制造业,12.75422212,7.93,0.89,,0.13,0.010654,0.15,0.0093,,0.009,1.716833
专用设备制造业,9.93178752,4.85025,,,0.1,,0.06,,,0.172504,1.141954
汽车制造业,1.590275519,1.25,,,0.02,,0.03,,,,0.184848
交通运输设备制造业,2.924261013,1.2827,0.0138,,0.01,,0.15,,,0.053043,0.326305
电气机械及器材制造业,8.174002112,3.6,0.100436,,0.04,,0.04,,,0.141489,1.090552
通信设备、计算机及其他电子设备制造业,6.134635284,1.73,,,0.01,,,,,0.041251,1.366819
仪器仪表及文化、办公用机械制造业,0.660013792,0.484831,0.023116,,0.01,,,,,,0.081722
工艺品及其他制造业,18.7918649,2.9,,,0.01,,0.08,,,,3.039193
废弃资源和废旧材料回收加工业,2.709402608,2.6,,,0.02,,0.1,,,,0.1864
金属制品、机械和设备修理业,1.0142934,0.98105,,,0.01,0.029774,0.02,,,,0.059332
电力煤气及水生产供应业,487.2428881,3462.5755,1.6,,0.96,0.0166,1.69,0.08,,0.02479,115.513496
电力、热力的生产和供应业,478.7971671,3462.16,1.6,,0.83,0.0166,1.65,0.08,,0.0129,113.1
燃气生产和供应业,2.409753959,0.0004,,,0.05,,0.02,,,0.008,0.7036
水的生产和供应业,6.035967002,0.4151,,,0.08,,0.02,,,,1.709896
建筑业                     ,99.88,29,,,9.8,,13.9,,,,12.6
交通运输、仓储及邮电通信业,456.6166772,46,,,19.4,5.05,180.6,,0.01,1.41,33.29
批发和零售贸易餐饮业       ,97.5192835,29.6,,,4.6,,2.82,,0.33,0.99,16.29
其他行业                   ,147.3875671,22.7,,,9.8,,2.23,,,0.23,35.04
生活消费                   ,697.8942833,515.7,,,8.4,,0.3,,6.2,1.99,66
