行业,能源消费总量,煤炭,焦炭,原油,汽油,煤油,柴油,燃料油,液化石油气,天然气,电力
消 费 总 量              ,7818.02,6810.1576,525.68,1479.96,208.78,10.49,281.82,3.47,23.98,32.46,1288.054622
农、林、牧、渔业           ,218.4026097,39.51,,,4,,34.5,,,,44.88
工业                       ,5271.724764,6366.4976,525.68,1479.96,1.46,0.15,13.42,3.47,8,11.2,961.48
采掘业                   ,290.0839093,324.0676,14.54,12.98,0.19,,4.19,,,1.22,32.65
煤炭开采和洗选业,186.8162903,314.9646,1.97,,0.05,,2.03,,,0.96,12.82
石油和天然气开采业,66.84568306,5.04,,12.98,0.08,,0.5,,,0.25,13.55
黑色金属矿采选业,20.68860438,1.103,12.51,,0.01,,0.59,,,,2.38
有色金属矿采选业,10.17152965,1.14,,,0.02,,0.21,,,0.01,2.96
非金属矿采选业  ,5.196209618,1.82,0.06,,,,0.66,,,,0.93
开采辅助活动,0.365592284,,,,0.03,,0.2,,,,0.01
其他采矿业  ,,,,,,,,,,,
制造业                   ,4259.004478,2184.74,511.14,1466.98,0.73,0.15,8.75,3.45,8,9.33,738.35
农副食品加工业,21.65751893,10.45,0.2,,0.02,,0.06,,,0.08,4.12
食品制造业,13.22252169,3.97,,,0.03,,0.16,,0.01,0.08,1.28
饮料制造业,16.3962594,6.02,,,0.02,,0.01,,,0.39,1.71
烟草制品业,2.381393069,,,,,,,,,0.08,0.46
纺织业,3.902990743,0.27,,,,,0.01,,,0.05,0.96
纺织服装、鞋、帽制造业,1.110363409,,,,,,,,,0.06,0.12
皮革、毛皮、羽毛(绒)及其制品业,0.245184528,0.09,,,,,,,,,0.06
木材加工及木、竹、藤、棕、草制品业,0.540545114,,,,,,,,,,0.18
家具制造业,0.068904284,,,,,,,,,,0.01
造纸及纸制品业,9.875201472,8.58,,,,,0.01,,,,1.22
印刷业和记录媒介的复制,0.625737125,,,,0.01,,,,,0.02,0.11
文教体育用品制造业,0.155030284,,,,,,,,,0.01,0.01
石油加工、炼焦及核燃料加工业,591.2201095,381.97,,1466.98,0.01,,0.81,1.32,,2.23,29.52
化学原料及化学制品制造业,358.3634466,69.53,55.58,,0.04,0.02,0.26,0.25,7.81,2.23,52.92
医药制造业,19.77299134,10.05,,,0.04,,0.03,0.38,,0.27,2.42
化学纤维制造业,,,,,,,,,,,
橡胶和塑料制品业,4.346162743,0.02,0.02,,0.02,,0.01,,,0.01,1.37
非金属矿物制品业,744.1281674,613.66,22.71,,0.19,,4.56,0.21,,1.22,79.46
黑色金属冶炼及压延加工业,991.3537276,423.24,416,,0.01,,0.48,,,0.33,138.71
有色金属冶炼及压延加工业,1436.079831,655.83,15.26,,0.11,0.13,2.05,0.98,0.18,1.47,414.39
金属制品业,5.940143506,0.15,,,0.04,,0.04,,,0.08,1.53
通用设备制造业,6.730855692,,0.02,,0.04,,0.04,0.22,,0.07,1.8
专用设备制造业,9.326069095,0.01,,,0.03,,0.03,,,0.29,1.43
汽车制造业,1.008093693,,,,,,0.01,,,0.03,0.13
交通运输设备制造业,,,,,,,,,,,
电气机械及器材制造业,5.560964058,,,,0.03,,0.02,,,0.1,1.41
通信设备、计算机及其他电子设备制造业,7.557116764,,,,,,,,,0.04,2.35
仪器仪表及文化、办公用机械制造业,,,,,,,,,,,
工艺品及其他制造业,1.140617644,,,,,,,,,,
废弃资源和废旧材料回收加工业,4.694376797,0.9,1.35,,,,0.04,0.09,,,0.57
金属制品、机械和设备修理业,1.600154841,,,,,,0.12,,,0.09,0.1
电力煤气及水生产供应业,722.636377,3857.69,,,0.54,,0.48,0.02,,0.65,190.48
电力、热力的生产和供应业,710.9859489,3857.6,,,0.51,,0.48,0.02,,0.65,186.7
燃气生产和供应业,2.762183853,,,,0.02,,,,,,0.91
水的生产和供应业,8.888244233,0.09,,,0.01,,,,,,2.87
建筑业                     ,112.6723956,14.5,,,12.7,,14.5,,,,15.61
交通运输、仓储及邮电通信业,621.726302,17.8,,,53.6,10.34,190.2,,,4.7,55.73462158
批发和零售贸易餐饮业       ,235.1831762,23.1,,,12.8,,4.5,,1.6,3.7,37.6
其他行业                   ,420.1828363,21.3,,,47.97,,17.5,,,6.8,64.3
生活消费                   ,938.1372934,327.45,,,76.25,,7.2,,14.38,6.06,108.45
