行业,能源消费总量,煤炭,焦炭,原油,汽油,煤油,柴油,燃料油,液化石油气,天然气,电力
消 费 总 量              ,7406.79,7016.56105,666.720896,1575.6253,74.997829,5.103667,268.208161,4.288831,7.056317,19.981924,1073.252888
农、林、牧、渔业           ,266.4510743,68.5,,,4.3,,32,,,,53.24
工业                       ,5528.614533,6264.86105,666.720896,1575.6253,8.997829,0.203667,27.278161,4.288831,0.366317,14.581924,841.372888
采掘业                   ,333.0314707,416.006827,3.84,19.5,1.75,,12.32,0.0174,,0.36,29.417389
煤炭开采和洗选业,215.8522255,393.386727,2.6,,0.45,,3.7,,,,12.851719
石油和天然气开采业,52.1114169,4.6,,19.5,0.62,,2.16,,,0.36,3.851944
黑色金属矿采选业,21.74747911,5.7,1.24,,0.15,,1.98,,,,4.205197
有色金属矿采选业,28.16199828,5.2,,,0.16,,0.99,,,,7.233679
非金属矿采选业  ,12.38268875,6.6201,,,0.11,,2.86,,,,0.92885
开采辅助活动,2.775662172,0.5,,,0.26,,0.63,0.0174,,,0.346
其他采矿业  ,,,,,,,,,,,
制造业                   ,4714.420148,2329.774223,662.850896,1556.1253,5.747829,0.183667,14.258161,4.251431,0.366127,13.851924,699.770199
农副食品加工业,44.04317514,33.919006,,,0.97,,0.75,,,0.02,5.00365
食品制造业,23.90112439,69.8557,,,0.08,,0.05,,,0.01,2.40725
饮料制造业,37.21296839,26.1864,,,0.18,,0.34,,,0.34,3.947654
烟草制品业,2.820603816,0.54,,,0.08,,0.03,,,0.08,0.360422
纺织业,4.25254582,1.83,,,0.00771,,0.02,,,0.001924,0.673954
纺织服装、鞋、帽制造业,0.804139273,0.48,,,0.01,,,,,,0.116698
皮革、毛皮、羽毛(绒)及其制品业,1.69574822,1.41,,,0.01,,0.01,,,0.01,0.150305
木材加工及木、竹、藤、棕、草制品业,0.117898861,0.06,,,0.01,,0.01,,,,0.014075
家具制造业,0.331302542,,,,0.02,,0.01,,,0.02,0.00879
造纸及纸制品业,17.17921582,16.8,,,0.03,,0.01,,,0.01,1.387704
印刷业和记录媒介的复制,1.525534802,1.3,,,0.03,,,,,0.01,0.121927
文教体育用品制造业,0.108136525,0.04,,,0.01,,0.01,,,,0.015756
石油加工、炼焦及核燃料加工业,646.1336746,242.511819,,1556.1253,0.94,,1.92,1.5354,0.0197,4.39,27.930596
化学原料及化学制品制造业,590.9030311,214.220035,86.98,,0.55,0.09,1.19,0.005,0.330589,4.58,81.293641
医药制造业,17.58021812,12.277349,,,0.28,,0.12,,,0.16,1.83439
化学纤维制造业,7.642343774,9.6,,,0.04,,0.03,,,,0.08049
橡胶和塑料制品业,9.00087168,1.694696,0.1731,,0.22,,0.16,,,,2.218346
非金属矿物制品业,729.2656788,611.56,6.2,,0.58,0.01,3.54,,0.00823,2.03,67.675
黑色金属冶炼及压延加工业,1507.423473,600.638106,511.69,,0.42,0.01,1.57,,,0.42,246.434953
有色金属冶炼及压延加工业,977.4977087,462.298942,52.44,,0.45,0.01,3.37,2.701321,,1.2,243.123343
金属制品业,16.37500864,1.21617,2.95,,0.29,0.02,0.147225,,,0.03,3.654994
通用设备制造业,10.68450205,5.8177,0.42,,0.2,0.01,0.120764,0.0087,,0.02,1.629869
专用设备制造业,11.88656507,3.3851,,,0.11,,0.042392,,,0.18,1.471529
汽车制造业,1.825404516,1.66,,,0.006879,,0.01778,,,,0.175953
交通运输设备制造业,1.165812545,0.0162,,,,,0.01,,,0.05,0.155987
电气机械及器材制造业,7.972282624,2.8454,0.032946,,0.05,,0.02,,,0.17,1.116419
通信设备、计算机及其他电子设备制造业,6.144436957,1.37,,,0.02,,0.01,,,0.06,1.374087
仪器仪表及文化、办公用机械制造业,0.819546797,0.57,,,0.01,,0.01,,,,0.106217
工艺品及其他制造业,26.09043445,0.69,,,0.05,,0.14,,,,4.478374
废弃资源和废旧材料回收加工业,8.566819332,2.3816,1.96,,0.06,,0.48,,,,0.682889
金属制品、机械和设备修理业,3.44994168,2.6,,,0.03,0.03,0.12,,,0.06,0.124937
电力煤气及水生产供应业,481.1629141,3519.08,0.03,,1.5,0.02,0.7,0.02,,0.37,112.1853
电力、热力的生产和供应业,464.3100899,3513.17,0.03,,1.35,0.02,0.7,0.02,,0.06,109.61
燃气生产和供应业,9.901774008,3.8,,,0.07,,,,,0.3,0.984839
水的生产和供应业,6.9510502,2.11,,,0.08,,,,,0.01,1.590461
建筑业                     ,115.9313023,33.4,,,10.6,,14.8,,,,14.9
交通运输、仓储及邮电通信业,493.9621049,50,,,22,4.9,188.2,,0.01,1.48,38.96
批发和零售贸易餐饮业       ,112.0680482,32,,,6.5,,3,,0.35,1.1,18.32
其他行业                   ,162.988417,26,,,13,,2.5,,,0.27,37.39
生活消费                   ,726.7901072,541.8,,,9.6,,0.43,,6.33,2.55,69.07
