年份,单位生产总值能耗上升或下降,单位生产总值电耗上升或下降,规模以上工业单位增加值能耗上升或下降
2006,-2.61,-1.74,-3.03
2007,-4.09,2.02,-6.53
2008,-5,0.09,-5.66
2009,-6.97,-5.55,-12.84
2010,-3.4,2.01,-7.94
2011,-2.51,2.02,-1.96
2012,-4.21,-4.31,-8.1
2013,-4.56,-2.57,-7.25
2014,-5.21,-6.26,-7.02
2015,-7.95,-7.2,-10.66
2016,-9.44,-9.93,-12.4
2017,-0.71,5.55,3.08
2018,-1.78,4.14,2.72
2019,-5.85,-5.9,-6.56
2020,-0.2,2.81,0.75
2021,-2.6,1.7,-3.2
2022,-1.6,-3.9,-2.1
2023,-1.4,3,-6.5
