行业,能源消费总量,煤炭,焦炭,原油,汽油,煤油,柴油,燃料油,液化石油气,天然气,电力
消 费 总 量              ,9088.69,8361.4247,622.61,1483.21,251.2513,8.99,312.91,1.66,17.67,44.50066,1644.68
农、林、牧、渔业           ,277.0144519,22.9,,,5.95,,33.45,0,0,0,69.81
工业                       ,6005.43036,8075.1747,622.61,1483.21,2.3513,0.13,18.94,1.01,0.26,14.06066,1191.68
采掘业                   ,401.2186263,388.47,7.49,14.19,0.2123,,7.31,,,0.74,71.54
煤炭开采和洗选业,168.2402889,383.51,0,0,0.05,,3.32,,,0.11,7.14
石油和天然气开采业,94.1063116,0,0,14.19,0.06,,0.32,,,0.63,22.41
黑色金属矿采选业,16.7977148,2.51,7.49,,0.01,,0.63,,,,2.47
有色金属矿采选业,43.85935142,0.39,,,0.02,,0.38,,,,14.67
非金属矿采选业  ,20.05165498,2.06,,,0.0023,,0.98,,,,5.88
开采辅助活动,2.550926,,,,0.07,,1.68,,,,0
其他采矿业  ,55.61237862,,,,,,,,,,18.97
制造业                   ,4860.187474,1862.3847,615.12,1469.02,1.109,0.13,10.65,0.99,0.26,12.08,919.33
农副食品加工业,42.63898311,10.54,0.08,,0.1,,0.4,,,0.17,8.58
食品制造业,15.45414001,2.9,,,0.02,,0.02,,,0.3,2.39
饮料制造业,12.36140778,4.25,,,0.02,,0.01,,,0.28,1.96
烟草制品业,1.979663855,0,,,,0,,,,0.05,0.47
纺织业,3.819514917,0.2,,,,,,,,0.03,1.13
纺织服装、鞋、帽制造业,0.609196342,,,,,,,,,0,0.17
皮革、毛皮、羽毛(绒)及其制品业,0.508023236,0.01,,,,,,,,0.01,0.13
木材加工及木、竹、藤、棕、草制品业,2.141338985,,,,,,,,,,0.72
家具制造业,1.319218259,,,,,,,,,,0.45
造纸及纸制品业,12.1453149,10.3,,,,,0.01,,,0.01,1.78
印刷业和记录媒介的复制,0.850587921,0.01,,,,,,,,,0.28
文教体育用品制造业,0.087947884,,,,,,,,,,0.03
石油加工、炼焦及核燃料加工业,678.9192376,882.67,,1469.02,0.06,,0.68,0.37,0.12,2.61,27.2
化学原料及化学制品制造业,457.8211817,77.09,47.9,,0.08,,0.28,0.03,0,3.13,83.65
医药制造业,29.35145421,7.82,,,0.05,,0.03,0.03,0,0.46,5.71
化学纤维制造业,3.753447573,,,,0.03,,,0,0,0.05,1.06
橡胶和塑料制品业,17.46414948,,,,0.02,,0.01,0,0,0.02,4.91
非金属矿物制品业,806.1320691,516.26,9.88,,0.3,,5.99,0.13,0,2.39,92.59
黑色金属冶炼及压延加工业,950.2528809,201.07,527.47,,0.05,,0.73,0,0,0.25,128.9
有色金属冶炼及压延加工业,1655.243778,146.68,16.48,,0.0588,0.13,1.94,0.4,0.14,1.73,508.47
金属制品业,22.31626001,0.45,0,,0.0262,,0.05,0,,0.21,6.69
通用设备制造业,8.600892267,,0.17,,0.034,,0.01,0.03,,0.03,2.72
专用设备制造业,6.000732514,,,,0.01,,0.02,,,0.08,1.57
汽车制造业,0.205211729,,,,,,,,,,0.07
交通运输设备制造业,0.732899033,,,,,,,,,,0.25
电气机械及器材制造业,11.6570897,,,,0.24,,0.03,,,0.09,3.4
通信设备、计算机及其他电子设备制造业,38.2745776,,,,,,0.01,,,0.06,12.36
仪器仪表及文化、办公用机械制造业,0.029315961,,,,,,,,,,0.01
工艺品及其他制造业,30.86970727,,,,,,,,,,10.53
废弃资源和废旧材料回收加工业,42.73209426,2.13,13.14,,0.01,,0.28,,,0.09,9.33
金属制品、机械和设备修理业,5.93,,,,,,0.15,,,0.03,1.82
电力煤气及水生产供应业,744.0242594,5824.32,,,1.03,,0.98,0.02,,1.24066,200.81
电力、热力的生产和供应业,688.8911581,5824.31,,0,0.8,,0.91,0.02,,0.13,183.26
燃气生产和供应业,27.73336651,0,,,0.18,,0.03,,,1.11066,8.4
水的生产和供应业,27.39973481,0.01,,,0.05,,0.04,,,,9.15
建筑业                     ,131.6322204,10.3,,,6.05,,29.16,0.65,0.15,0.08,17.54
交通运输、仓储及邮电通信业,759.3436059,12.92,,,70.88,8.86,206.59,,,6.1,81.08
批发和零售贸易餐饮业       ,333.3824355,14.96,,,15.43,,3.26,,2.96,6.08,58.02
其他行业                   ,538.3142896,13.18,,,58.49,,16.65,,0,8.86,87.86
生活消费                   ,1043.59,211.99,,,92.1,,4.86,,14.3,9.32,138.69
