行业,能源消费总量,煤炭,焦炭,原油,汽油,煤油,柴油,燃料油,液化石油气,天然气,电力
消 费 总 量              ,8104.71,7245.453,582.27,1483.92,209.57,7.6,281.55,2.23,23.09,35.3798,1375.7
农、林、牧、渔业           ,234.2929765,36.6,,,4.4,,35.1,,,,51.22
工业                       ,5476.010216,6830.663,582.27,1483.92,1.15,0.1,14.29,2.23,8,10.5098,1026.1
采掘业                   ,420.5063555,281.2,12.89,16.37,0.23,,4.44,,,1.21,70.92
煤炭开采和洗选业,161.3184119,272.67,1.75,,0.05,,1.48,,,0.5,1.31
石油和天然气开采业,77.52791604,3.78,,16.37,0.08,,0.49,,,0.71,14.23
黑色金属矿采选业,32.87035866,1.06,11.14,,,,0.79,,,,6.94
有色金属矿采选业,72.83668708,0.66,,,0.02,,0.26,,,,24.28
非金属矿采选业  ,25.05899036,3.03,,,0.02,,0.79,,,,7.33
开采辅助活动,1.006257,,,,0.06,,0.63,,,,
其他采矿业  ,49.88773446,,,,,,,,,,16.83
制造业                   ,4334.24,2016.633,569.38,1467.55,0.83,0.1,9.57,2.23,8,9.03,759.51
农副食品加工业,31.0668028,10.25,0.18,,0.06,,0.06,,,0.1,7.34
食品制造业,15.75877484,3.903,,,0.02,,0.07,,,0.09,1.78
饮料制造业,16.07379368,6.45,,,0.02,,0.01,,,0.3,1.63
烟草制品业,2.292465234,,,,,,,,,0.07,0.49
纺织业,4.04139076,0.15,,,,,0.01,,,0.02,1.18
纺织服装、鞋、帽制造业,0.653558657,,,,,,,,,0.01,0.18
皮革、毛皮、羽毛(绒)及其制品业,0.470212648,0.08,,,,,,,,,0.14
木材加工及木、竹、藤、棕、草制品业,3.06,,,,,,,,,,1.01
家具制造业,0.987422724,,,,,,,,,,0.32
造纸及纸制品业,13.7685902,11.2,,,,,0.01,,,,2.02
印刷业和记录媒介的复制,0.891529543,,,,0.02,,,,,0.01,0.24
文教体育用品制造业,0.059284295,,,,,,,,,,0.02
石油加工、炼焦及核燃料加工业,595.4725986,473.07,,1467.55,0.09,,0.63,0.81,,2.23,23.65
化学原料及化学制品制造业,359.2597047,63.75,50.93,,0.04,,0.2,0.09,7.9,2.47,63.17
医药制造业,22.52298652,9.15,,,0.05,,0.04,0.09,,0.28,3.44
化学纤维制造业,3.853479192,,,,,,,,,,1.3
橡胶和塑料制品业,12.00753639,0.02,,,0.04,,0.01,,,0.02,3.94
非金属矿物制品业,713.5224662,595.29,25.94,,0.16,,5.45,0.37,,1.2,83.42
黑色金属冶炼及压延加工业,1033.891613,487.52,482.34,,,,0.58,,,0.32,127.25
有色金属冶炼及压延加工业,1419.019015,354.25,9.07,,0.09,0.1,1.99,0.73,0.1,1.49,412.69
金属制品业,17.17318543,0.14,,,0.07,,0.03,,,0.05,5.46
通用设备制造业,5.66330654,,0.1,,0.02,,0.03,0.09,,0.02,1.73
专用设备制造业,7.840148853,,,,0.05,,0.05,,,0.19,1.08
汽车制造业,0.674192624,,,,,,,,,0.01,0.11
交通运输设备制造业,0.414990067,,,,,,,,,,0.14
电气机械及器材制造业,4.993171192,,,,0.1,,0.02,,,0.08,1.3
通信设备、计算机及其他电子设备制造业,11.59087292,,,,,,0.14,,,0.03,3.72
仪器仪表及文化、办公用机械制造业,0.444632214,,,,,,,,,,0.15
工艺品及其他制造业,16.3031812,,,,,,,,,,5.5
废弃资源和废旧材料回收加工业,14.97415537,1.41,0.82,,,,0.05,0.05,,0.01,3.47
金属制品、机械和设备修理业,5.498161212,,,,,,0.19,,,0.03,1.64
电力煤气及水生产供应业,721.256781,4532.83,,,0.09,,0.28,,,0.2698,195.67
电力、热力的生产和供应业,658.989269,4532.81,,,0.07,,0.28,,,,175.39
燃气生产和供应业,32.10782629,,,,,,,,,0.2698,10.18
水的生产和供应业,30.15968575,0.02,,,0.02,,,,,,10.1
建筑业                     ,117.01,14.5,,,12.95,,14.65,,,,17.02
交通运输、仓储及邮电通信业,620.83,14.3,,,51.8,7.5,188.3,,,4.85,59.9
批发和零售贸易餐饮业       ,243.0350252,20.1,,,12.8,,4.61,,1.7,4.5,38.79
其他行业                   ,428.7432485,19.1,,,47.37,,17.6,,,7.42,67.14
生活消费                   ,984.8005492,310.19,,,79.1,,7,,13.39,8.1,115.53
